country,value_exported_2022_usd,trade_balance_2022_usd,quantity_exported_2022,unit_value_USD,share_world_exports_%
India,985919,631584,35549,27734,17.6
United States of America,707884,-530081,31136,22735,12.6
France,438444,-35222,9102,48170,7.8
Brazil,420234,343320,55592,7559,7.5
China,322472,41106,17326,18612,5.8
Germany,248050,-178392,7999,31010,4.4
United Kingdom,197711,-77759,7294,27106,3.5
Italy,178532,65380,6232,28648,3.2
Indonesia,172873,-26306,5908,29261,3.1
Netherlands,156691,-16233,5205,30104,2.8
Spain,156547,-27090,6759,23161,2.8
Argentina,153282,130296,5212,29409,2.7
Bulgaria,90743,84292,2732,33215,1.6
Madagascar,75212,75179,4688,16044,1.3
Canada,70156,-20450,3475,20189,1.3
Switzerland,59176,-99344,998,59295,1.1
Austria,54512,2987,3904,13963,1
South Africa,53585,25546,4060,13198,1
United Arab Emirates,45898,7523,6288,7299,0.8
Turkey,44419,689,922,48177,0.8
Peru,41191,34315,815,50541,0.7
Ireland,39072,-215819,2089,18704,0.7
Poland,37719,9807,1186,31804,0.7
Haiti,34568,33145,222,155712,0.6
Russian Federation,33468,3668,582,57505,0.6
Sri Lanka,33218,29794,778,42697,0.6
Morocco,29554,27937,992,29792,0.5
Paraguay,23746,18622,761,31204,0.4
Viet Nam,22499,7945,409,55010,0.4
Thailand,22045,-19938,813,27116,0.4
Croatia,20498,12261,167,122743,0.4
Belgium,17417,-11935,764,22797,0.3
Tunisia,17271,16056,336,51402,0.3
Costa Rica,14901,7667,1951,7638,0.3
Others,214813,-513638,16521,0,3.2
