no,provinsi,luas_areal_tanam_2020,luas_areal_panen_2020,produksi_ton_2020,produktivitas_2020,jumlah_petani_2020,luas_areal_tanam_2021,luas_areal_panen_2021,produksi_ton_2021,produktivitas_2021,jumlah_petani_2021,luas_areal_tanam_2022,luas_areal_panen_2022,produksi_ton_2022,produktivitas_2022,jumlah_petani_2022,luas_areal_tanam_2023,luas_areal_panen_2023,produksi_ton_2023,produktivitas_2023,jumlah_petani_2023,total_areal_tanam,total_areal_panen,total_produksi_ton,latitude,longitude,pulau
1,ACEH,1228,1022,178,174,33,1212,871,159,182,3179,1223,885,156,176,3184,1295,981,191,195,3397,4958,3759,684,4.695135,96.7493993,SUMATERA
2,SUMATERA UTARA,907,907,336,370,1759,918,917,344,375,1803,923,923,329,400,1823,969,945,386,409,1902,3717,3692,1395,2.1153547,99.5450974,SUMATERA
3,SUMATERA BARAT,2962,2025,537,265,4777,2175,2076,464,224,4353,2589,2589,352,136,4400,2726,2125,569,268,5456,10452,8815,1922,-0.7399397,100.8000051,SUMATERA
4,RIAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2933469,101.7068294,SUMATERA
5,KEPULAUAN RIAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9456514,108.1428669,SUMATERA
6,JAMBI,1513,1021,220,215,3116,1492,958,204,213,2988,1480,918,193,210,2928,1595,1026,241,235,3194,6080,3923,858,-1.4851831,102.4380581,SUMATERA
7,SUMATERA SELATAN,352,300,48,159,656,32,16,0,18,17,346,295,47,158,645,204,164,27,167,108,934,775,122,-3.3194374,103.914399,SUMATERA
8,KEP BANGKA BELITUNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7410513,106.4405872,SUMATERA
9,BENGKULU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5778471,102.3463875,SUMATERA
10,LAMPUNG,46,46,5,109,50,45,45,5,111,49,42,42,5,119,46,48,47,6,121,53,181,180,21,-4.5585849,105.4068079,SUMATERA
